match_key_raw,brand_voysen,matched_id,source,url_source
(NS홈쇼핑)제주삼다수 그린 무라벨 2L 12개 (유/무라벨 랜덤발송)33862495,(NS홈쇼핑)제주삼다수 그린 무라벨 2L 12개 (유/무라벨 랜덤발송)33862495,1012984,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=e250965051
(가정용)빨간사과 산지직송연구소 아삭한 국내산 가정용 부사사과 4kg 26-30과/달콤한 제철 과일 /산지직송,(가정용)빨간사과 산지직송연구소 아삭한 국내산 가정용 부사사과 4kg 26-30과/달콤한 제철 과일 /산지직송,1013029,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=f371270794
(국내산) 고소한 호두 1kg /견과류 피호두 1kg,(국내산) 고소한 호두 1kg /견과류 피호두 1kg,1013034,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=b445937589
(국내산) 파프리카 정품 특품 5kg 빨+노 특품 정품,(국내산) 파프리카 정품 특품 5kg 빨+노 특품 정품,1013035,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=c348558047
(길쑤파머KS)유럽샐러드 상추 채소 3종 이상 랜덤 1kg 유러피안 야채 쌈채소,(길쑤파머KS)유럽샐러드 상추 채소 3종 이상 랜덤 1kg 유러피안 야채 쌈채소,1013040,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=d423771320
(길쑤파머KS)유럽샐러드 상추 채소 3종 이상 랜덤 2kg 유러피안 야채 쌈채소,(길쑤파머KS)유럽샐러드 상추 채소 3종 이상 랜덤 2kg 유러피안 야채 쌈채소,1013041,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=d686871125
(깨비농원)제주 미니밤호박 보우짱 2kg(4-7개)/2개 구매시 5kg 발송,(깨비농원)제주 미니밤호박 보우짱 2kg(4-7개)/2개 구매시 5kg 발송,1013048,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=c369042877
(나비골농협 ) 국내산 태양초 고추가루 500g (보통맛),(나비골농협 ) 국내산 태양초 고추가루 500g (보통맛),1013050,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=e735971696
(나비골농협 ) 국내산 태양초 고추가루 500g(매운맛),(나비골농협 ) 국내산 태양초 고추가루 500g (보통맛),1013050,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=b892202728
(나비골농협) 국내산 고춧가루 500g (보통맛) 함평천지고추가루,(나비골농협 ) 국내산 태양초 고추가루 500g (보통맛),1013050,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=a636989456
(나비골농협) 국내산 청결 고추가루 3kg (보통맛) 국산 고춧가루,(나비골농협) 국내산 청결 고추가루 3kg (보통맛) 국산 고춧가루,1013051,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=a636990777
(나비골농협) 국산 감자전분 500g 감자녹말,(나비골농협 ) 국내산 태양초 고추가루 500g (보통맛),1013050,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=a637781739
(농협) 고품격 장성 대봉 반건시 곶감 선물세트 3호,(농협) 고품격 장성 대봉 반건시 곶감 선물세트 3호,1013053,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=b225848988
(농협쌀/고시히카리/특) 김포금쌀 고시히카리 4kg+4kg / 2025년산 햅쌀,(농협쌀/고시히카리/특) 김포금쌀 고시히카리 4kg+4kg / 2025년산 햅쌀,1013054,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=c781002176
(농협쌀/상) 만세보령 빛고운 황진쌀 10kg / 2025년산 햅쌀,(농협쌀/상) 만세보령 빛고운 황진쌀 10kg / 2025년산 햅쌀,1013055,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=f333063343
(농협청과33번)농협청과33번 25년 햇 꿀밤고구마 10kg 왕특 (세척),(농협청과33번)농협청과33번 25년 햇 꿀밤고구마 10kg 왕특 (세척),1013056,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=b300819930
(다산식품)HACCP 25년 경북영양 태양초고추 고춧가루 조미용(보통맛) 1kg,(다산식품)HACCP 25년 경북영양 태양초고추 고춧가루 조미용(보통맛) 1kg,1013057,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=c440551404
(다산식품)HACCP 25년 햇 경북영양 청결고추 고춧가루 3kg(무배),(다산식품)HACCP 25년 햇 경북영양 청결고추 고춧가루 3kg(무배),1013058,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=b767836701
(달찐과일)유명산지 25년 햇 나주배 가정용 15kg (14-20과) 나주직송,(달찐과일)유명산지 25년 햇 나주배 가정용 15kg (14-20과) 나주직송,1013059,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=c523203875
(라라르떼)(신세계센텀점)과즙가득 머스크 멜론 3.2kg 선물세트 (1.6kg 2입),(라라르떼)(신세계센텀점)과즙가득 머스크 멜론 3.2kg 선물세트 (1.6kg 2입),1013063,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=e373766092
(롯데백화점)(맛딜)아삭아삭 진영 단감 10kg 대 (49-55과 내외),(롯데백화점)(맛딜)아삭아삭 진영 단감 10kg 대 (49-55과 내외),1013064,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=e750860489
(롯데백화점)25년 해남 달콤한 꿀고구마 10kg 한입 베니하루카,(롯데백화점)25년 해남 달콤한 꿀고구마 10kg 한입 베니하루카,1013065,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=e313699827
(롯데백화점)25년 해남 달콤한 꿀고구마 3kg 한입 베니하루카,(롯데백화점)25년 해남 달콤한 꿀고구마 3kg 한입 베니하루카,1013066,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=c522576465
(롯데백화점)25년 햇감자 10kg (중/조림용),(롯데백화점)25년 해남 달콤한 꿀고구마 10kg 한입 베니하루카,1013065,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=d321898383
(롯데백화점)25년산 햇 감자 10kg (특),(롯데백화점)25년 해남 달콤한 꿀고구마 10kg 한입 베니하루카,1013065,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=c416243833
(롯데백화점)25년수확 포슬포슬 수미 감자 10kg (대),(롯데백화점)25년 해남 달콤한 꿀고구마 10kg 한입 베니하루카,1013065,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=e226864660
(롯데백화점)상주곶감 실속형 곶감 건시 1kg (500g x 2팩),(롯데백화점)상주곶감 실속형 곶감 건시 1kg (500g x 2팩),1013071,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=e261565838
